Dates,State,Consumption_MU
2019-07-21,Andhra Pradesh,164.9
2019-07-22,Andhra Pradesh,165.3
2019-07-23,Andhra Pradesh,168.2
2019-07-24,Andhra Pradesh,175.2
2019-07-25,Andhra Pradesh,174.1
2019-07-26,Andhra Pradesh,158.7
2019-07-27,Andhra Pradesh,154.9
2019-07-28,Andhra Pradesh,151.0
2019-07-29,Andhra Pradesh,155.2
2019-07-30,Andhra Pradesh,161.8
2019-07-31,Andhra Pradesh,169.9
2019-08-01,Andhra Pradesh,166.0
2019-08-02,Andhra Pradesh,153.9
2019-08-03,Andhra Pradesh,153.3
2019-08-04,Andhra Pradesh,152.6
2019-08-05,Andhra Pradesh,169.3
2019-08-06,Andhra Pradesh,179.4
2019-08-07,Andhra Pradesh,175.1
2019-08-08,Andhra Pradesh,182.5
2019-08-09,Andhra Pradesh,188.4
2019-08-10,Andhra Pradesh,185.9
2019-08-11,Andhra Pradesh,187.1
2019-08-12,Andhra Pradesh,186.0
2019-08-13,Andhra Pradesh,183.4
2019-08-14,Andhra Pradesh,183.6
2019-08-15,Andhra Pradesh,184.7
2019-08-16,Andhra Pradesh,183.3
2019-08-17,Andhra Pradesh,174.0
2019-08-18,Andhra Pradesh,164.1
2019-08-19,Andhra Pradesh,164.3
2019-08-20,Andhra Pradesh,161.9
2019-08-22,Andhra Pradesh,160.9
2019-08-23,Andhra Pradesh,164.7
2019-08-24,Andhra Pradesh,165.4
2019-08-25,Andhra Pradesh,166.8
2019-08-26,Andhra Pradesh,175.5
2019-08-27,Andhra Pradesh,184.6
2019-08-28,Andhra Pradesh,187.2
2019-08-29,Andhra Pradesh,194.8
2019-08-30,Andhra Pradesh,190.4
2019-08-31,Andhra Pradesh,182.7
2019-09-01,Andhra Pradesh,167.9
2019-09-02,Andhra Pradesh,157.2
2019-09-03,Andhra Pradesh,153.6
2019-09-04,Andhra Pradesh,159.4
2019-09-05,Andhra Pradesh,163.6
2019-09-06,Andhra Pradesh,167.9
2019-09-07,Andhra Pradesh,169.6
2019-09-08,Andhra Pradesh,169.7
2019-09-09,Andhra Pradesh,181.9
2019-09-10,Andhra Pradesh,186.9
2019-09-11,Andhra Pradesh,186.6
2019-09-12,Andhra Pradesh,183.0
2019-09-13,Andhra Pradesh,184.5
2019-09-14,Andhra Pradesh,180.5
2019-09-15,Andhra Pradesh,175.6
2019-09-16,Andhra Pradesh,172.8
2019-09-17,Andhra Pradesh,162.7
2019-09-18,Andhra Pradesh,159.2
2019-09-19,Andhra Pradesh,153.8
2019-09-20,Andhra Pradesh,152.4
